iso3,area,hpv
NOR,Europe,93
KNA,Americas,90
BRN,Asia-Pacific,91
ISL,Europe,94
CAN,Americas,83
GBR,Europe,85
CHL,Americas,92
MLT,Europe,86
PRT,Europe,93
SWE,Europe,86
ESP,Europe,84
AUS,Asia-Pacific,89
HUN,Europe,86
PAN,Americas,85
COK,Asia-Pacific,97
IRL,Europe,85
SYC,Africa,96
PLW,Asia-Pacific,85
BEL,Europe,71
NZL,Asia-Pacific,71
LTU,Europe,65
AND,Europe,64
CYP,Europe,73
DNK,Europe,79
FIN,Europe,60
SVN,Europe,59
CHE,Europe,64
LVA,Europe,52
NLD,Europe,63
KOR,Asia-Pacific,72
ISR,Middle East and North Africa,55
SMR,Europe,48
EST,Europe,51
ITA,Europe,61
USA,Americas,61
URY,Americas,77
DEU,Europe,48
BRB,Americas,66
ARE,Middle East and North Africa,28
FRA,Europe,29
LUX,Europe,37
ATG,Americas,10
TTO,Americas,18
BHS,Americas,29
JPN,Asia-Pacific,0.3
SGP,Asia-Pacific,0.1
DMA,Americas,100
TKM,Central Asia,100
ZMB,Africa,99
UZB,Central Asia,97
MEX,Americas,94
RWA,Africa,97
BLZ,Americas,99
MWI,Africa,88
MDV,Asia-Pacific,88
MYS,Asia-Pacific,85
ETH,Africa,94
LKA,Asia-Pacific,99
MUS,Africa,84
BOL,Americas,88
PER,Americas,82
BTN,South Asia,89
BRA,South America,83
GMB,West Africa,68
SLB,Oceania,67
ZWE,Southern Africa,91
THA,Southeast Asia,76
UGA,East Africa,99
PRY,South America,70
HND,Central America,78
FSM,Micronesia,70
ARG,South America,84
FJI,Oceania,93
ZAF,Southern Africa,69
ECU,South America,82
TZA,East Africa,78
BWA,Southern Africa,87
LCA,Caribbean,86
GRD,Caribbean,73
MKD,Europe,45
CRI,Central America,98
COL,South America,71
SUR,South America,51
MDA,Europe,31
KEN,East Africa,25
SEN,West Africa,86
MHL,Oceania,67
GTM,Central America,42
LBR,West Africa,14
GUY,South America,31
GEO,Europe/Central Asia,38
VCT,Caribbean,10
JAM,Caribbean,23
ARM,Europe/Central Asia,17
DOM,Caribbean,12
CIV,West Africa,6
BGR,Europe,6
IDN,Southeast Asia,0.5
PHL,Southeast Asia,7
JPN2,Asia-Pacific,14.4
